  ISEG =            1
   1   3    0.0000E+00    0.0000E+00    0.0000E+00
   2   1    0.0000E+00    0.0000E+00    0.0000E+00
   2   2    0.1602E+08    0.0000E+00    0.5042E+03
   2   3    0.0000E+00    0.0000E+00    0.0000E+00
   3   1    0.0000E+00    0.0000E+00    0.0000E+00
   3   2    0.0000E+00    0.0000E+00    0.0000E+00
   3   3    0.3029E+08    0.0000E+00    0.1021E+04
  ISEG =           12
   1   1    0.7023E+08    0.0000E+00    0.2365E+04
   1   2    0.0000E+00    0.0000E+00    0.0000E+00
   1   3    0.0000E+00    0.0000E+00    0.0000E+00
   2   1    0.0000E+00    0.0000E+00    0.0000E+00
   2   2    0.1602E+08    0.0000E+00    0.5042E+03
   2   3    0.0000E+00    0.0000E+00    0.0000E+00
   3   1    0.0000E+00    0.0000E+00    0.0000E+00
   3   2    0.0000E+00    0.0000E+00    0.0000E+00
   3   3    0.3029E+08    0.0000E+00    0.1021E+04
  ISEG =           13
   1   1    0.8701E+08   -0.2910E-10    0.1037E+04
   1   2    0.0000E+00    0.0000E+00    0.0000E+00
   1   3    0.0000E+00    0.0000E+00    0.0000E+00
   2   1    0.0000E+00    0.0000E+00    0.0000E+00
   2   2    0.1810E+08   -0.7276E-11    0.2127E+03
   2   3    0.0000E+00    0.0000E+00    0.0000E+00
   3   1    0.0000E+00    0.0000E+00    0.0000E+00
   3   2    0.0000E+00    0.0000E+00    0.0000E+00
   3   3    0.3498E+08   -0.2183E-10    0.4310E+03
  ISEG =           14
   1   1    0.8676E+08    0.0000E+00    0.9965E+02
   1   2    0.0000E+00    0.0000E+00    0.0000E+00
   1   3    0.0000E+00    0.0000E+00    0.0000E+00
   2   1    0.0000E+00    0.0000E+00    0.0000E+00
   2   2    0.1735E+08    0.0000E+00    0.2075E+02
   2   3    0.0000E+00    0.0000E+00    0.0000E+00
   3   1    0.0000E+00    0.0000E+00    0.0000E+00
   3   2    0.0000E+00    0.0000E+00    0.0000E+00
   3   3    0.3490E+08    0.0000E+00    0.4304E+02
  ISEG =           15
   1   1    0.8676E+08    0.0000E+00    0.9965E+02
   1   2    0.0000E+00    0.0000E+00    0.0000E+00
   1   3    0.0000E+00    0.0000E+00    0.0000E+00
   2   1    0.0000E+00    0.0000E+00    0.0000E+00
   2   2    0.1735E+08    0.0000E+00    0.2075E+02
   2   3    0.0000E+00    0.0000E+00    0.0000E+00
   3   1    0.0000E+00    0.0000E+00    0.0000E+00
   3   2    0.0000E+00    0.0000E+00    0.0000E+00
   3   3    0.3490E+08    0.0000E+00    0.4304E+02
  ISEG =           16
   1   1    0.3644E+08    0.0000E+00    0.3647E+03
   1   2    0.0000E+00    0.0000E+00    0.0000E+00
   1   3    0.0000E+00    0.0000E+00    0.0000E+00
   2   1    0.0000E+00    0.0000E+00    0.0000E+00
   2   2    0.1255E+08    0.0000E+00    0.1203E+03
   2   3    0.0000E+00    0.0000E+00    0.0000E+00
   3   1    0.0000E+00    0.0000E+00    0.0000E+00
   3   2    0.0000E+00    0.0000E+00    0.0000E+00
   3   3    0.2998E+08    0.0000E+00    0.3011E+03
  ISEG =           17
   1   1    0.3644E+08    0.0000E+00    0.3647E+03
   1   2    0.0000E+00    0.0000E+00    0.0000E+00
   1   3    0.0000E+00    0.0000E+00    0.0000E+00
   2   1    0.0000E+00    0.0000E+00    0.0000E+00
   2   2    0.1255E+08    0.0000E+00    0.1203E+03
   2   3    0.0000E+00    0.0000E+00    0.0000E+00
   3   1    0.0000E+00    0.0000E+00    0.0000E+00
   3   2    0.0000E+00    0.0000E+00    0.0000E+00
   3   3    0.2998E+08    0.0000E+00    0.3011E+03
